user_id,risk_score,risk_level,ml_prediction,ml_suspicious_probability,ml_risk_level,final_risk_score,final_risk_level,connected_devices,connected_merchants,shared_device_users,risk_reasons
U0078,64.46,MEDIUM,1,99.81,HIGH,82.14,HIGH,D0023,M023,"U0073, U0074, U0075, U0076, U0077",Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0065,64.27,MEDIUM,1,100.0,HIGH,82.14,HIGH,D0021,M021,"U0061, U0062, U0063, U0064, U0066",Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0077,63.51,MEDIUM,1,100.0,HIGH,81.76,HIGH,D0023,M023,"U0073, U0074, U0075, U0076, U0078",Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0074,55.06,MEDIUM,1,99.98,HIGH,77.52,HIGH,"D0001, D0023","M001, M023","U0069, U0073, U0075, U0076, U0077, U0078, U0089, U0120, U0150",Multiple users sharing the same device; Device connected to many users
U0085,55.04,MEDIUM,1,99.93,HIGH,77.48,HIGH,"D0009, D0025","M009, M025","U0031, U0084, U0086, U0087, U0088, U0089, U0090, U0126, U0140",Multiple users sharing the same device; Device connected to many users
U0084,55.04,MEDIUM,1,99.75,HIGH,77.4,HIGH,"D0009, D0024","M009, M024","U0031, U0079, U0080, U0081, U0082, U0083, U0085, U0126, U0140",Multiple users sharing the same device; Device connected to many users
U0087,55.05,MEDIUM,1,99.69,HIGH,77.37,HIGH,"D0003, D0025","M003, M025","U0016, U0058, U0085, U0086, U0088, U0089, U0090, U0096, U0118",Multiple users sharing the same device; Device connected to many users
U0063,55.04,MEDIUM,1,99.65,HIGH,77.34,HIGH,"D0008, D0021","M008, M021","U0015, U0061, U0062, U0064, U0065, U0066, U0068, U0121, U0142",Multiple users sharing the same device; Device connected to many users
U0068,55.04,MEDIUM,1,99.2,HIGH,77.12,HIGH,"D0008, D0022","M008, M022","U0015, U0063, U0067, U0069, U0070, U0071, U0072, U0121, U0142",Multiple users sharing the same device; Device connected to many users
U0069,53.64,MEDIUM,1,99.95,HIGH,76.8,HIGH,"D0001, D0005, D0022","M001, M005, M022","U0005, U0006, U0067, U0068, U0070, U0071, U0072, U0074, U0089, U0100, U0113, U0120, U0150",Multiple users sharing the same device; Device connected to many users
U0081,53.61,MEDIUM,1,99.82,HIGH,76.72,HIGH,"D0007, D0010, D0024","M007, M010, M024","U0001, U0042, U0058, U0079, U0080, U0082, U0083, U0084, U0089, U0107, U0114, U0128, U0137",Multiple users sharing the same device; Device connected to many users
U0089,53.62,MEDIUM,1,99.59,HIGH,76.6,HIGH,"D0001, D0010, D0025","M001, M010, M025","U0042, U0058, U0069, U0074, U0081, U0085, U0086, U0087, U0088, U0090, U0114, U0120, U0150",Multiple users sharing the same device; Device connected to many users
U0058,47.42,MEDIUM,1,100.0,HIGH,73.71,HIGH,"D0003, D0010, D0018","M003, M010, M018","U0016, U0042, U0081, U0087, U0089, U0096, U0114, U0118",No major risk indicators detected
U0142,36.0,LOW,1,100.0,HIGH,68.0,HIGH,D0008,M008,"U0015, U0063, U0068, U0121",No major risk indicators detected
U0005,36.0,LOW,1,100.0,HIGH,68.0,HIGH,D0005,M005,"U0006, U0069, U0100, U0113",No major risk indicators detected
U0121,36.0,LOW,1,100.0,HIGH,68.0,HIGH,D0008,M008,"U0015, U0063, U0068, U0142",No major risk indicators detected
U0118,36.0,LOW,1,100.0,HIGH,68.0,HIGH,D0003,M003,"U0016, U0058, U0087, U0096",No major risk indicators detected
U0096,36.0,LOW,1,100.0,HIGH,68.0,HIGH,D0003,M003,"U0016, U0058, U0087, U0118",No major risk indicators detected
U0113,36.0,LOW,1,100.0,HIGH,68.0,HIGH,D0005,M005,"U0005, U0006, U0069, U0100",No major risk indicators detected
U0016,36.0,LOW,1,100.0,HIGH,68.0,HIGH,D0003,M003,"U0058, U0087, U0096, U0118",No major risk indicators detected
U0006,36.0,LOW,1,99.96,HIGH,67.98,HIGH,D0005,M005,"U0005, U0069, U0100, U0113",No major risk indicators detected
U0015,36.06,LOW,1,99.75,HIGH,67.9,HIGH,"D0006, D0008","M006, M008","U0002, U0014, U0063, U0068, U0100, U0112, U0121, U0142",No major risk indicators detected
U0100,36.08,LOW,1,99.69,HIGH,67.88,HIGH,"D0005, D0006","M005, M006","U0002, U0005, U0006, U0014, U0015, U0069, U0112, U0113",No major risk indicators detected
U0056,36.68,LOW,1,98.9,HIGH,67.79,HIGH,"D0002, D0016","M002, M016","U0004, U0025, U0107, U0144",High merchant concentration
U0059,36.48,LOW,1,98.78,HIGH,67.63,HIGH,D0019,M019,,Very high transaction velocity; High merchant concentration
U0053,35.32,LOW,1,99.43,HIGH,67.38,HIGH,D0013,M013,,Very high transaction velocity; High merchant concentration
U0052,33.8,LOW,1,99.4,HIGH,66.6,HIGH,D0012,M012,,Very high transaction velocity; High merchant concentration
U0057,34.35,LOW,1,98.79,HIGH,66.57,HIGH,D0017,M017,,Very high transaction velocity; High merchant concentration
U0055,33.76,LOW,1,98.28,HIGH,66.02,HIGH,D0015,M015,,Very high transaction velocity; High merchant concentration
U0054,33.14,LOW,1,98.83,HIGH,65.98,HIGH,D0014,M014,,Very high transaction velocity; High merchant concentration
U0051,32.68,LOW,1,98.83,HIGH,65.76,HIGH,D0011,M011,,Very high transaction velocity; High merchant concentration
U0060,32.02,LOW,1,99.43,HIGH,65.73,HIGH,D0020,M020,,Very high transaction velocity; High merchant concentration
U0114,30.0,LOW,1,100.0,HIGH,65.0,HIGH,D0010,M010,"U0042, U0058, U0081, U0089",No major risk indicators detected
U0099,30.0,LOW,1,100.0,HIGH,65.0,HIGH,D0004,M004,"U0014, U0050, U0102, U0139",No major risk indicators detected
U0102,30.0,LOW,1,100.0,HIGH,65.0,HIGH,D0004,M004,"U0014, U0050, U0099, U0139",No major risk indicators detected
U0139,30.0,LOW,1,100.0,HIGH,65.0,HIGH,D0004,M004,"U0014, U0050, U0099, U0102",No major risk indicators detected
U0126,30.0,LOW,1,100.0,HIGH,65.0,HIGH,D0009,M009,"U0031, U0084, U0085, U0140",No major risk indicators detected
U0128,30.0,LOW,1,100.0,HIGH,65.0,HIGH,D0007,M007,"U0001, U0081, U0107, U0137",No major risk indicators detected
U0031,30.0,LOW,1,100.0,HIGH,65.0,HIGH,D0009,M009,"U0084, U0085, U0126, U0140",No major risk indicators detected
U0042,30.0,LOW,1,100.0,HIGH,65.0,HIGH,D0010,M010,"U0058, U0081, U0089, U0114",No major risk indicators detected
U0137,30.0,LOW,1,100.0,HIGH,65.0,HIGH,D0007,M007,"U0001, U0081, U0107, U0128",No major risk indicators detected
U0150,30.0,LOW,1,99.96,HIGH,64.98,HIGH,D0001,M001,"U0069, U0074, U0089, U0120",No major risk indicators detected
U0140,30.0,LOW,1,99.74,HIGH,64.87,HIGH,D0009,M009,"U0031, U0084, U0085, U0126",No major risk indicators detected
U0014,30.09,LOW,1,99.64,HIGH,64.86,HIGH,"D0004, D0006","M004, M006","U0002, U0015, U0050, U0099, U0100, U0102, U0112, U0139",No major risk indicators detected
U0107,30.04,LOW,1,99.4,HIGH,64.72,HIGH,"D0002, D0007","M002, M007","U0001, U0004, U0025, U0056, U0081, U0128, U0137, U0144",No major risk indicators detected
U0120,30.0,LOW,1,98.99,HIGH,64.5,HIGH,D0001,M001,"U0069, U0074, U0089, U0150",No major risk indicators detected
U0050,30.0,LOW,1,98.0,HIGH,64.0,HIGH,D0004,M004,"U0014, U0099, U0102, U0139",No major risk indicators detected
U0001,30.0,LOW,1,97.5,HIGH,63.75,HIGH,D0007,M007,"U0081, U0107, U0128, U0137",No major risk indicators detected
U0025,24.67,LOW,1,99.94,HIGH,62.3,HIGH,D0002,M002,"U0004, U0056, U0107, U0144",Recently created account
U0002,24.0,LOW,1,99.94,HIGH,61.97,HIGH,D0006,M006,"U0014, U0015, U0100, U0112",No major risk indicators detected
U0004,24.0,LOW,1,99.91,HIGH,61.96,HIGH,D0002,M002,"U0025, U0056, U0107, U0144",No major risk indicators detected
U0144,24.0,LOW,1,99.91,HIGH,61.96,HIGH,D0002,M002,"U0004, U0025, U0056, U0107",No major risk indicators detected
U0112,24.0,LOW,1,99.35,HIGH,61.68,HIGH,D0006,M006,"U0002, U0014, U0015, U0100",No major risk indicators detected
U0788,21.0,LOW,1,61.41,MEDIUM,41.2,MEDIUM,"D0152, D0239","M070, M071","U0152, U0159, U0163, U0165, U0177, U0223, U0229, U0230, U0241, U0242, U0280, U0311, U0349, U0359, U0415, U0458, U0503, U0524, U0554, U0558, U0569, U0571, U0595, U0632, U0634, U0635, U0652, U0656, U0661, U0664, U0669, U0704, U0710, U0729, U0740, U0748, U0753, U0768, U0795, U0800, U0802, U0888, U0908, U0923, U0949, U0979, U0986",Device connected to many users
U0408,36.01,LOW,0,0.0,LOW,18.0,LOW,"D0091, D0193, D0202, D0229, D0272, D0278, D0367, D0395, D0431","M035, M039, M048, M057, M071, M078, M085, M087, M089","U0157, U0160, U0168, U0169, U0175, U0176, U0178, U0191, U0198, U0219, U0221, U0223, U0250, U0258, U0260, U0277, U0279, U0284, U0285, U0287, U0291, U0295, U0296, U0298, U0300, U0307, U0308, U0310, U0317, U0321, U0327, U0331, U0335, U0342, U0344, U0352, U0356, U0359, U0361, U0373, U0375, U0386, U0391, U0402, U0404, U0405, U0407, U0413, U0414, U0419, U0420, U0421, U0422, U0438, U0439, U0441, U0447, U0449, U0464, U0473, U0474, U0486, U0492, U0494, U0495, U0496, U0497, U0498, U0510, U0511, U0520, U0522, U0524, U0529, U0533, U0537, U0546, U0551, U0553, U0556, U0559, U0565, U0575, U0586, U0587, U0602, U0603, U0605, U0611, U0613, U0621, U0622, U0626, U0629, U0634, U0636, U0640, U0642, U0650, U0651, U0663, U0670, U0672, U0674, U0676, U0679, U0683, U0687, U0690, U0694, U0698, U0701, U0705, U0709, U0713, U0722, U0723, U0725, U0737, U0746, U0747, U0754, U0756, U0764, U0777, U0787, U0790, U0797, U0800, U0802, U0804, U0809, U0819, U0823, U0824, U0825, U0826, U0838, U0850, U0858, U0860, U0861, U0867, U0868, U0870, U0871, U0876, U0877, U0879, U0881, U0891, U0895, U0897, U0898, U0902, U0904, U0906, U0907, U0917, U0918, U0920, U0921, U0925, U0936, U0940, U0941, U0948, U0949, U0953, U0960, U0963, U0966, U0969, U0971, U0976, U0980, U0981, U0984, U0985, U0987, U0995, U0997, U1000",Device connected to many users; Very new account; Recently created account
U0769,32.98,LOW,0,0.0,LOW,16.49,LOW,"D0079, D0101, D0107, D0112, D0186, D0213, D0303, D0369, D0416, D0473, D0475, D0499","M026, M032, M034, M036, M047, M054, M077, M090, M092, M093, M099","U0152, U0153, U0157, U0158, U0160, U0162, U0166, U0169, U0171, U0172, U0173, U0182, U0187, U0193, U0194, U0198, U0199, U0203, U0205, U0208, U0209, U0211, U0216, U0222, U0223, U0225, U0227, U0229, U0232, U0235, U0240, U0251, U0260, U0269, U0278, U0280, U0286, U0287, U0289, U0290, U0292, U0299, U0303, U0305, U0307, U0310, U0312, U0314, U0321, U0322, U0323, U0327, U0334, U0337, U0352, U0357, U0358, U0360, U0365, U0371, U0373, U0377, U0378, U0379, U0385, U0389, U0399, U0402, U0412, U0414, U0415, U0417, U0427, U0432, U0434, U0438, U0439, U0445, U0446, U0452, U0453, U0456, U0457, U0459, U0461, U0469, U0483, U0487, U0490, U0496, U0499, U0500, U0507, U0511, U0515, U0518, U0520, U0521, U0530, U0531, U0534, U0537, U0544, U0545, U0551, U0556, U0557, U0564, U0565, U0577, U0579, U0583, U0584, U0585, U0586, U0587, U0589, U0591, U0598, U0606, U0607, U0608, U0609, U0612, U0615, U0620, U0624, U0627, U0629, U0631, U0636, U0641, U0642, U0644, U0649, U0650, U0657, U0662, U0663, U0665, U0668, U0669, U0670, U0675, U0677, U0682, U0683, U0685, U0688, U0690, U0691, U0696, U0702, U0704, U0711, U0713, U0715, U0717, U0719, U0721, U0722, U0727, U0734, U0735, U0738, U0741, U0746, U0753, U0754, U0757, U0760, U0762, U0764, U0765, U0770, U0771, U0772, U0773, U0774, U0779, U0780, U0782, U0785, U0789, U0798, U0799, U0804, U0815, U0828, U0836, U0840, U0854, U0857, U0858, U0862, U0869, U0872, U0874, U0876, U0877, U0878, U0880, U0882, U0884, U0886, U0894, U0899, U0902, U0910, U0912, U0915, U0922, U0925, U0928, U0942, U0952, U0958, U0963, U0967, U0971, U0981, U0982, U0987, U0989, U0992, U0996, U0998",Device connected to many users; Very new account; Recently created account
U0244,31.83,LOW,0,0.0,LOW,15.92,LOW,"D0078, D0129, D0133, D0135, D0217, D0258, D0329, D0337, D0356, D0404, D0428, D0467, D0481","M027, M031, M036, M043, M047, M048, M065, M077, M090, M092, M095, M099","U0151, U0153, U0154, U0158, U0162, U0169, U0170, U0174, U0175, U0179, U0184, U0188, U0193, U0197, U0202, U0206, U0211, U0213, U0215, U0220, U0223, U0224, U0230, U0231, U0234, U0238, U0240, U0241, U0242, U0246, U0248, U0253, U0256, U0257, U0260, U0262, U0269, U0271, U0272, U0292, U0293, U0296, U0297, U0298, U0305, U0309, U0310, U0314, U0320, U0321, U0322, U0323, U0327, U0328, U0330, U0335, U0336, U0337, U0342, U0343, U0349, U0350, U0353, U0357, U0358, U0360, U0361, U0362, U0364, U0365, U0366, U0368, U0369, U0371, U0374, U0376, U0381, U0382, U0383, U0387, U0396, U0399, U0401, U0402, U0405, U0406, U0412, U0414, U0415, U0416, U0417, U0419, U0424, U0426, U0432, U0433, U0434, U0436, U0438, U0442, U0443, U0447, U0452, U0453, U0454, U0456, U0458, U0468, U0471, U0474, U0480, U0485, U0486, U0491, U0493, U0496, U0498, U0499, U0504, U0512, U0521, U0522, U0523, U0524, U0528, U0531, U0532, U0533, U0537, U0538, U0539, U0542, U0548, U0552, U0559, U0560, U0568, U0569, U0571, U0572, U0578, U0579, U0581, U0583, U0588, U0589, U0590, U0591, U0598, U0601, U0602, U0603, U0607, U0613, U0614, U0617, U0619, U0622, U0627, U0632, U0633, U0635, U0637, U0640, U0645, U0646, U0650, U0651, U0656, U0657, U0661, U0662, U0664, U0666, U0669, U0672, U0675, U0679, U0682, U0683, U0687, U0688, U0689, U0693, U0694, U0697, U0698, U0699, U0701, U0709, U0713, U0714, U0716, U0717, U0728, U0732, U0739, U0745, U0748, U0750, U0751, U0754, U0755, U0760, U0766, U0768, U0770, U0773, U0774, U0775, U0780, U0785, U0796, U0797, U0798, U0800, U0804, U0805, U0807, U0811, U0818, U0819, U0824, U0827, U0833, U0837, U0838, U0840, U0842, U0844, U0845, U0849, U0851, U0856, U0859, U0866, U0868, U0870, U0872, U0876, U0881, U0884, U0885, U0887, U0896, U0901, U0902, U0906, U0913, U0924, U0926, U0930, U0934, U0937, U0940, U0941, U0942, U0943, U0949, U0950, U0951, U0954, U0956, U0960, U0961, U0965, U0967, U0968, U0973, U0975, U0976, U0979, U0988, U0989, U0990, U0991, U0996, U0997, U1000",Device connected to many users; Very new account; Recently created account
U0344,31.51,LOW,0,0.0,LOW,15.76,LOW,"D0111, D0125, D0136, D0140, D0171, D0270, D0367, D0415, D0434, D0460","M026, M041, M083, M086, M088, M091, M098","U0152, U0155, U0167, U0168, U0176, U0178, U0187, U0189, U0193, U0203, U0209, U0218, U0223, U0227, U0228, U0229, U0235, U0240, U0241, U0246, U0251, U0254, U0256, U0260, U0265, U0266, U0267, U0271, U0277, U0289, U0291, U0292, U0293, U0294, U0298, U0300, U0304, U0305, U0306, U0308, U0311, U0315, U0320, U0324, U0331, U0338, U0342, U0348, U0351, U0354, U0361, U0363, U0364, U0369, U0373, U0374, U0381, U0386, U0389, U0390, U0391, U0400, U0402, U0405, U0408, U0409, U0412, U0423, U0426, U0435, U0436, U0437, U0438, U0441, U0447, U0451, U0452, U0453, U0466, U0467, U0473, U0476, U0480, U0483, U0494, U0496, U0502, U0506, U0522, U0529, U0532, U0534, U0549, U0551, U0556, U0557, U0575, U0576, U0578, U0579, U0588, U0590, U0591, U0592, U0593, U0595, U0596, U0601, U0604, U0605, U0606, U0607, U0611, U0621, U0625, U0626, U0627, U0630, U0631, U0639, U0641, U0644, U0646, U0650, U0658, U0663, U0666, U0667, U0668, U0669, U0674, U0680, U0681, U0683, U0686, U0690, U0700, U0707, U0710, U0713, U0719, U0722, U0729, U0731, U0736, U0737, U0738, U0743, U0747, U0762, U0763, U0765, U0770, U0777, U0779, U0780, U0782, U0786, U0794, U0795, U0796, U0804, U0806, U0809, U0824, U0825, U0827, U0830, U0832, U0834, U0840, U0841, U0847, U0856, U0857, U0859, U0860, U0864, U0867, U0869, U0870, U0872, U0877, U0880, U0884, U0887, U0897, U0901, U0907, U0910, U0915, U0916, U0925, U0931, U0934, U0938, U0940, U0942, U0943, U0944, U0948, U0952, U0956, U0958, U0960, U0966, U0974, U0986, U0999",Device connected to many users
U0717,31.49,LOW,0,0.0,LOW,15.74,LOW,"D0110, D0165, D0166, D0173, D0223, D0224, D0297, D0303, D0358, D0380, D0443, D0451, D0467","M030, M035, M037, M047, M055, M056, M057, M066, M069, M082, M092, M100","U0151, U0152, U0154, U0155, U0159, U0162, U0163, U0165, U0173, U0176, U0180, U0186, U0187, U0193, U0198, U0199, U0200, U0202, U0205, U0208, U0209, U0212, U0214, U0215, U0218, U0219, U0220, U0231, U0232, U0235, U0240, U0244, U0245, U0246, U0248, U0253, U0257, U0261, U0263, U0265, U0267, U0268, U0269, U0274, U0277, U0279, U0280, U0283, U0284, U0287, U0293, U0294, U0297, U0311, U0320, U0321, U0323, U0325, U0330, U0331, U0334, U0338, U0340, U0343, U0361, U0363, U0364, U0366, U0369, U0378, U0383, U0387, U0390, U0393, U0397, U0399, U0403, U0404, U0405, U0410, U0419, U0420, U0423, U0427, U0428, U0429, U0444, U0445, U0446, U0448, U0454, U0455, U0456, U0461, U0464, U0465, U0467, U0493, U0494, U0495, U0496, U0498, U0506, U0511, U0513, U0514, U0515, U0518, U0524, U0527, U0531, U0532, U0533, U0539, U0541, U0544, U0552, U0567, U0573, U0574, U0578, U0583, U0585, U0589, U0597, U0602, U0605, U0607, U0620, U0629, U0630, U0632, U0636, U0644, U0650, U0652, U0657, U0662, U0663, U0668, U0669, U0670, U0675, U0684, U0687, U0701, U0702, U0703, U0704, U0706, U0707, U0708, U0712, U0713, U0716, U0721, U0729, U0733, U0736, U0738, U0741, U0746, U0749, U0750, U0757, U0759, U0760, U0762, U0764, U0769, U0770, U0772, U0774, U0775, U0778, U0783, U0785, U0787, U0789, U0791, U0794, U0799, U0800, U0801, U0802, U0804, U0806, U0813, U0817, U0818, U0820, U0821, U0823, U0829, U0833, U0835, U0838, U0842, U0845, U0846, U0854, U0857, U0864, U0866, U0870, U0872, U0877, U0878, U0880, U0887, U0892, U0894, U0895, U0897, U0901, U0909, U0911, U0913, U0914, U0915, U0930, U0931, U0935, U0937, U0940, U0943, U0945, U0952, U0954, U0961, U0964, U0965, U0966, U0967, U0968, U0970, U0979, U0981, U0983, U0984, U0985, U0986, U0987, U0988, U0990, U0994",Device connected to many users; Very new account; Recently created account
U0578,30.4,LOW,0,0.0,LOW,15.2,LOW,"D0136, D0224, D0277, D0317, D0322, D0356, D0425, D0440, D0485, D0490, D0498","M037, M040, M047, M055, M072, M077, M089, M090, M099","U0153, U0155, U0158, U0159, U0162, U0165, U0168, U0171, U0174, U0175, U0180, U0181, U0182, U0191, U0194, U0195, U0199, U0202, U0206, U0208, U0210, U0213, U0215, U0219, U0220, U0223, U0224, U0234, U0241, U0243, U0244, U0246, U0250, U0254, U0255, U0257, U0263, U0268, U0274, U0275, U0281, U0283, U0286, U0289, U0292, U0294, U0298, U0299, U0308, U0309, U0317, U0319, U0323, U0326, U0327, U0328, U0331, U0335, U0337, U0338, U0339, U0342, U0344, U0347, U0350, U0353, U0355, U0363, U0364, U0369, U0377, U0379, U0382, U0383, U0385, U0388, U0390, U0393, U0398, U0406, U0407, U0410, U0414, U0415, U0417, U0420, U0426, U0429, U0433, U0437, U0438, U0439, U0444, U0445, U0447, U0450, U0456, U0458, U0460, U0467, U0471, U0473, U0476, U0479, U0480, U0492, U0496, U0498, U0499, U0501, U0502, U0504, U0512, U0516, U0521, U0523, U0526, U0535, U0536, U0539, U0540, U0547, U0548, U0550, U0551, U0557, U0558, U0559, U0574, U0587, U0588, U0591, U0595, U0601, U0602, U0606, U0607, U0618, U0624, U0625, U0631, U0633, U0634, U0639, U0642, U0643, U0645, U0653, U0657, U0661, U0662, U0665, U0666, U0667, U0677, U0681, U0693, U0695, U0700, U0701, U0703, U0706, U0707, U0714, U0717, U0719, U0721, U0727, U0731, U0736, U0737, U0741, U0743, U0745, U0747, U0756, U0771, U0774, U0777, U0780, U0784, U0791, U0792, U0796, U0797, U0800, U0803, U0806, U0807, U0815, U0820, U0823, U0825, U0830, U0840, U0841, U0842, U0849, U0851, U0853, U0854, U0861, U0863, U0864, U0868, U0871, U0881, U0884, U0885, U0887, U0889, U0896, U0900, U0901, U0906, U0914, U0921, U0925, U0930, U0936, U0938, U0941, U0942, U0946, U0947, U0957, U0958, U0961, U0964, U0967, U0969, U0971, U0975, U0979, U0980, U0992, U0993, U0994, U0995, U0996, U1000",Device connected to many users; Recently created account
U0741,30.22,LOW,0,0.0,LOW,15.11,LOW,"D0154, D0172, D0173, D0183, D0247, D0263, D0317, D0347, D0361, D0375, D0377, D0381, D0416, D0482","M030, M038, M041, M050, M063, M067, M074, M083, M093, M094, M096","U0158, U0160, U0162, U0164, U0165, U0170, U0174, U0176, U0178, U0180, U0182, U0183, U0185, U0187, U0189, U0191, U0192, U0201, U0206, U0216, U0218, U0219, U0221, U0224, U0233, U0243, U0245, U0256, U0263, U0268, U0269, U0272, U0284, U0285, U0288, U0290, U0293, U0297, U0300, U0301, U0302, U0309, U0322, U0324, U0327, U0328, U0329, U0330, U0334, U0342, U0343, U0349, U0350, U0352, U0358, U0361, U0365, U0367, U0368, U0377, U0378, U0379, U0380, U0382, U0384, U0387, U0389, U0393, U0399, U0400, U0403, U0404, U0407, U0410, U0414, U0426, U0432, U0433, U0436, U0439, U0442, U0443, U0446, U0451, U0453, U0455, U0456, U0461, U0464, U0467, U0469, U0475, U0478, U0482, U0484, U0489, U0495, U0500, U0502, U0505, U0507, U0508, U0509, U0511, U0516, U0518, U0520, U0525, U0530, U0532, U0533, U0538, U0540, U0545, U0551, U0556, U0565, U0566, U0567, U0568, U0570, U0577, U0578, U0580, U0581, U0584, U0585, U0586, U0589, U0590, U0592, U0601, U0602, U0608, U0609, U0611, U0612, U0614, U0616, U0624, U0630, U0632, U0638, U0639, U0642, U0644, U0646, U0650, U0651, U0652, U0657, U0658, U0662, U0663, U0669, U0671, U0672, U0676, U0678, U0681, U0682, U0685, U0694, U0699, U0701, U0702, U0705, U0717, U0721, U0722, U0727, U0730, U0731, U0733, U0735, U0740, U0745, U0748, U0750, U0754, U0757, U0762, U0768, U0769, U0774, U0776, U0779, U0782, U0783, U0784, U0785, U0786, U0791, U0792, U0799, U0800, U0802, U0805, U0806, U0807, U0811, U0817, U0818, U0823, U0824, U0825, U0831, U0832, U0833, U0837, U0838, U0839, U0841, U0844, U0848, U0851, U0858, U0862, U0864, U0865, U0868, U0874, U0875, U0877, U0880, U0881, U0884, U0885, U0888, U0890, U0891, U0895, U0898, U0899, U0900, U0904, U0907, U0915, U0922, U0925, U0927, U0939, U0940, U0945, U0946, U0950, U0954, U0955, U0964, U0967, U0968, U0974, U0976, U0977, U0983, U0986, U0988, U0991, U0994, U1000",Device connected to many users
