device_id,device_type
D0272,desktop
D0273,mobile
D0274,mobile
D0275,desktop
D0276,tablet
D0277,desktop
D0278,tablet
D0279,desktop
D0280,mobile
D0281,tablet
D0282,mobile
D0283,desktop
D0284,tablet
D0285,tablet
D0286,tablet
D0287,mobile
D0288,desktop
D0289,mobile
D0290,tablet
D0291,mobile
D0292,tablet
D0293,mobile
D0294,desktop
D0295,mobile
D0296,mobile
D0297,mobile
D0298,mobile
D0299,desktop
D0300,tablet
D0301,tablet
D0302,tablet
D0303,desktop
D0304,desktop
D0305,mobile
D0306,desktop
D0307,tablet
D0308,desktop
D0309,tablet
D0310,desktop
D0311,desktop
D0312,tablet
D0313,tablet
D0314,desktop
D0315,desktop
D0316,mobile
D0317,tablet
D0318,mobile
D0319,desktop
D0320,tablet
D0321,desktop
D0322,tablet
D0323,desktop
D0324,mobile
D0325,mobile
D0326,mobile
D0327,tablet
D0328,tablet
D0329,tablet
D0330,mobile
D0331,tablet
D0332,desktop
D0333,tablet
D0334,mobile
D0335,mobile
D0336,desktop
D0337,tablet
D0338,tablet
D0339,desktop
D0340,desktop
D0341,mobile
D0342,tablet
D0343,desktop
D0344,tablet
D0345,desktop
D0346,mobile
D0347,desktop
D0348,desktop
D0349,desktop
D0350,desktop
D0351,desktop
D0352,tablet
D0353,mobile
D0354,mobile
D0355,desktop
D0356,desktop
D0357,tablet
D0358,desktop
D0359,desktop
D0360,tablet
D0361,desktop
D0362,tablet
D0363,mobile
D0364,desktop
D0365,mobile
D0366,desktop
D0367,desktop
D0368,desktop
D0369,mobile
D0370,desktop
D0371,tablet
D0372,mobile
D0373,tablet
D0374,tablet
D0375,desktop
D0376,desktop
D0377,mobile
D0378,mobile
D0379,tablet
D0380,desktop
D0381,tablet
D0382,desktop
D0383,tablet
D0384,desktop
D0385,mobile
D0386,mobile
D0387,desktop
D0388,tablet
D0389,mobile
D0390,desktop
D0391,desktop
D0392,tablet
D0393,desktop
D0394,mobile
D0395,mobile
D0396,tablet
D0397,tablet
D0398,mobile
D0399,tablet
D0400,mobile
D0401,desktop
D0402,tablet
D0403,mobile
D0404,tablet
D0405,desktop
D0406,mobile
D0407,mobile
D0408,mobile
D0409,desktop
D0410,mobile
D0411,tablet
D0412,mobile
D0413,desktop
D0414,tablet
D0415,desktop
D0416,tablet
D0417,tablet
D0418,desktop
D0419,desktop
D0420,desktop
D0421,desktop
D0422,mobile
D0423,desktop
D0424,tablet
D0425,mobile
D0426,desktop
D0427,mobile
D0428,tablet
D0429,tablet
D0430,tablet
D0431,mobile
D0432,mobile
D0433,desktop
D0434,desktop
D0435,desktop
D0436,tablet
D0437,desktop
D0438,mobile
D0439,desktop
D0440,tablet
D0441,desktop
D0442,tablet
D0443,tablet
D0444,tablet
D0445,desktop
D0446,mobile
D0447,desktop
D0448,tablet
D0449,desktop
D0450,desktop
D0451,desktop
D0452,tablet
D0453,tablet
D0454,desktop
D0455,desktop
D0456,desktop
D0457,mobile
D0458,tablet
D0459,mobile
D0460,tablet
D0461,desktop
D0462,mobile
D0463,desktop
D0464,mobile
D0465,desktop
D0466,tablet
D0467,desktop
D0468,tablet
D0469,desktop
D0470,desktop
D0471,tablet
D0472,tablet
D0473,mobile
D0474,desktop
D0475,mobile
D0476,mobile
D0477,tablet
D0478,tablet
D0479,desktop
D0480,mobile
D0481,desktop
D0482,mobile
D0483,tablet
D0484,desktop
D0485,mobile
D0486,tablet
D0487,mobile
D0488,desktop
D0489,tablet
D0490,mobile
D0491,mobile
D0492,desktop
D0493,desktop
D0494,desktop
D0495,tablet
D0496,tablet
D0497,desktop
D0498,tablet
D0499,mobile
D0500,desktop
