user_id,risk_score,risk_level,ml_prediction,ml_suspicious_probability,ml_risk_level,actual_suspicious,rule_prediction
U0064,76.71,HIGH,1,100.0,HIGH,1,1
U0065,64.27,MEDIUM,1,100.0,HIGH,1,0
U0066,75.49,HIGH,1,100.0,HIGH,1,1
U0067,67.27,MEDIUM,1,99.34,HIGH,1,0
U0068,55.04,MEDIUM,1,99.2,HIGH,1,0
U0069,53.64,MEDIUM,1,99.95,HIGH,1,0
U0070,65.07,MEDIUM,1,100.0,HIGH,1,0
U0071,70.64,HIGH,1,100.0,HIGH,1,1
U0072,67.21,MEDIUM,1,100.0,HIGH,1,0
U0073,64.66,MEDIUM,1,100.0,HIGH,1,0
U0074,55.06,MEDIUM,1,99.98,HIGH,1,0
U0075,64.61,MEDIUM,1,100.0,HIGH,1,0
U0076,75.69,HIGH,1,99.96,HIGH,1,1
U0077,63.51,MEDIUM,1,100.0,HIGH,1,0
U0078,64.46,MEDIUM,1,99.81,HIGH,1,0
U0079,65.29,MEDIUM,1,99.44,HIGH,1,0
U0080,69.68,MEDIUM,1,100.0,HIGH,1,0
U0081,53.61,MEDIUM,1,99.82,HIGH,1,0
U0082,85.88,HIGH,1,100.0,HIGH,1,1
U0083,70.3,HIGH,1,100.0,HIGH,1,1
U0084,55.04,MEDIUM,1,99.75,HIGH,1,0
U0085,55.04,MEDIUM,1,99.93,HIGH,1,0
U0086,67.38,MEDIUM,1,100.0,HIGH,1,0
U0087,55.05,MEDIUM,1,99.69,HIGH,1,0
U0088,65.84,MEDIUM,1,99.44,HIGH,1,0
U0089,53.62,MEDIUM,1,99.59,HIGH,1,0
U0090,66.25,MEDIUM,1,100.0,HIGH,1,0
U0091,0.0,LOW,0,0.0,LOW,0,0
U0092,0.0,LOW,0,0.0,LOW,0,0
U0093,0.0,LOW,0,0.0,LOW,0,0
U0094,0.0,LOW,0,0.0,LOW,0,0
U0095,0.0,LOW,0,0.0,LOW,0,0
U0096,36.0,LOW,1,100.0,HIGH,1,0
U0097,0.0,LOW,0,0.0,LOW,0,0
U0098,0.0,LOW,0,0.0,LOW,0,0
U0099,30.0,LOW,1,100.0,HIGH,1,0
U0100,36.08,LOW,1,99.69,HIGH,1,0
U0101,0.0,LOW,0,0.0,LOW,0,0
U0102,30.0,LOW,1,100.0,HIGH,1,0
U0103,0.0,LOW,0,0.0,LOW,0,0
U0104,0.0,LOW,0,0.0,LOW,0,0
U0105,0.0,LOW,0,0.0,LOW,0,0
U0106,0.0,LOW,0,0.0,LOW,0,0
U0107,30.04,LOW,1,99.4,HIGH,1,0
U0108,0.0,LOW,0,0.0,LOW,0,0
U0109,0.0,LOW,0,0.0,LOW,0,0
U0110,0.0,LOW,0,0.0,LOW,0,0
U0111,0.0,LOW,0,0.0,LOW,0,0
U0112,24.0,LOW,1,99.35,HIGH,1,0
U0113,36.0,LOW,1,100.0,HIGH,1,0
U0114,30.0,LOW,1,100.0,HIGH,1,0
U0115,0.0,LOW,0,0.0,LOW,0,0
U0116,0.0,LOW,0,0.0,LOW,0,0
U0117,0.0,LOW,0,0.0,LOW,0,0
U0118,36.0,LOW,1,100.0,HIGH,1,0
U0119,0.0,LOW,0,0.0,LOW,0,0
U0120,30.0,LOW,1,98.99,HIGH,1,0
U0121,36.0,LOW,1,100.0,HIGH,1,0
U0122,0.0,LOW,0,0.0,LOW,0,0
U0123,0.0,LOW,0,0.0,LOW,0,0
U0124,0.0,LOW,0,0.0,LOW,0,0
U0125,0.0,LOW,0,0.0,LOW,0,0
U0126,30.0,LOW,1,100.0,HIGH,1,0
U0127,0.0,LOW,0,0.0,LOW,0,0
U0128,30.0,LOW,1,100.0,HIGH,1,0
U0129,0.0,LOW,0,0.0,LOW,0,0
U0130,0.0,LOW,0,0.0,LOW,0,0
U0131,0.0,LOW,0,0.0,LOW,0,0
U0132,0.0,LOW,0,0.0,LOW,0,0
U0133,0.0,LOW,0,0.0,LOW,0,0
U0134,0.0,LOW,0,0.0,LOW,0,0
U0135,0.0,LOW,0,0.0,LOW,0,0
U0136,0.0,LOW,0,0.0,LOW,0,0
U0137,30.0,LOW,1,100.0,HIGH,1,0
U0138,0.0,LOW,0,0.0,LOW,0,0
U0139,30.0,LOW,1,100.0,HIGH,1,0
U0140,30.0,LOW,1,99.74,HIGH,1,0
U0141,0.0,LOW,0,0.0,LOW,0,0
U0142,36.0,LOW,1,100.0,HIGH,1,0
U0143,0.0,LOW,0,0.0,LOW,0,0
U0144,24.0,LOW,1,99.91,HIGH,1,0
U0145,0.0,LOW,0,0.0,LOW,0,0
U0146,0.0,LOW,0,0.0,LOW,0,0
U0147,0.0,LOW,0,0.0,LOW,0,0
U0148,0.0,LOW,0,0.0,LOW,0,0
U0149,0.0,LOW,0,0.0,LOW,0,0
U0150,30.0,LOW,1,99.96,HIGH,1,0
U0151,22.01,LOW,0,0.0,LOW,0,0
U0152,21.0,LOW,0,0.0,LOW,0,0
U0153,21.84,LOW,0,0.0,LOW,0,0
U0154,22.16,LOW,0,0.0,LOW,0,0
U0155,21.01,LOW,0,0.0,LOW,0,0
U0156,21.0,LOW,0,0.0,LOW,0,0
U0157,22.51,LOW,0,0.0,LOW,0,0
U0158,21.0,LOW,0,0.0,LOW,0,0
U0159,21.01,LOW,0,0.0,LOW,0,0
U0160,21.01,LOW,0,0.0,LOW,0,0
U0161,21.0,LOW,0,0.0,LOW,0,0
U0162,21.01,LOW,0,0.0,LOW,0,0
U0163,23.01,LOW,0,0.0,LOW,0,0
U0164,22.51,LOW,0,0.0,LOW,0,0
U0165,22.37,LOW,0,0.0,LOW,0,0
U0166,22.88,LOW,0,0.0,LOW,0,0
U0167,22.08,LOW,0,0.0,LOW,0,0
U0168,27.0,LOW,0,0.0,LOW,0,0
U0169,21.0,LOW,0,0.0,LOW,0,0
U0170,22.5,LOW,0,0.0,LOW,0,0
U0171,21.01,LOW,0,0.0,LOW,0,0
U0172,21.01,LOW,0,0.0,LOW,0,0
U0173,22.37,LOW,0,0.0,LOW,0,0
U0174,21.01,LOW,0,0.0,LOW,0,0
U0175,21.01,LOW,0,0.0,LOW,0,0
U0176,28.88,LOW,0,0.0,LOW,0,0
U0177,21.0,LOW,0,0.0,LOW,0,0
U0178,28.16,LOW,0,0.0,LOW,0,0
U0179,22.37,LOW,0,0.0,LOW,0,0
U0180,21.01,LOW,0,0.0,LOW,0,0
U0181,21.01,LOW,0,0.0,LOW,0,0
U0182,23.51,LOW,0,0.0,LOW,0,0
U0183,24.75,LOW,0,0.0,LOW,0,0
U0184,21.89,LOW,0,0.0,LOW,0,0
U0185,21.01,LOW,0,0.0,LOW,0,0
U0186,23.15,LOW,0,0.0,LOW,0,0
U0187,21.01,LOW,0,0.0,LOW,0,0
U0188,22.5,LOW,0,0.0,LOW,0,0
U0189,29.15,LOW,0,0.0,LOW,0,0
U0190,21.01,LOW,0,0.0,LOW,0,0
U0191,21.01,LOW,0,0.0,LOW,0,0
U0192,21.0,LOW,0,0.0,LOW,0,0
U0193,22.37,LOW,0,0.0,LOW,0,0
U0194,21.01,LOW,0,0.0,LOW,0,0
U0195,23.51,LOW,0,0.0,LOW,0,0
U0196,27.01,LOW,0,0.0,LOW,0,0
U0197,21.01,LOW,0,0.0,LOW,0,0
U0198,22.26,LOW,0,0.0,LOW,0,0
U0199,21.0,LOW,0,0.0,LOW,0,0
U0200,21.01,LOW,0,0.0,LOW,0,0
U0201,22.5,LOW,0,0.0,LOW,0,0
U0202,21.0,LOW,0,0.0,LOW,0,0
U0203,23.01,LOW,0,0.0,LOW,0,0
U0204,22.16,LOW,0,0.0,LOW,0,0
U0205,21.01,LOW,0,0.0,LOW,0,0
U0206,21.01,LOW,0,0.0,LOW,0,0
U0207,22.01,LOW,0,0.0,LOW,0,0
U0208,23.15,LOW,0,0.0,LOW,0,0
U0209,21.0,LOW,0,0.0,LOW,0,0
U0210,21.01,LOW,0,0.0,LOW,0,0
U0211,23.51,LOW,0,0.0,LOW,0,0
U0212,23.31,LOW,0,0.0,LOW,0,0
U0213,29.67,LOW,0,0.0,LOW,0,0
U0214,21.0,LOW,0,0.0,LOW,0,0
U0215,23.66,LOW,0,0.0,LOW,0,0
U0216,27.01,LOW,0,0.0,LOW,0,0
U0217,22.37,LOW,0,0.0,LOW,0,0
U0218,23.15,LOW,0,0.0,LOW,0,0
U0219,22.37,LOW,0,0.0,LOW,0,0
U0220,21.01,LOW,0,0.0,LOW,0,0
U0221,22.67,LOW,0,0.0,LOW,0,0
U0222,23.73,LOW,0,0.0,LOW,0,0
U0223,30.0,LOW,0,0.0,LOW,0,0
U0224,21.0,LOW,0,0.0,LOW,0,0
U0225,22.77,LOW,0,0.0,LOW,0,0
U0226,21.01,LOW,0,0.0,LOW,0,0
U0227,23.26,LOW,0,0.0,LOW,0,0
U0228,23.01,LOW,0,0.0,LOW,0,0
U0229,21.01,LOW,0,0.0,LOW,0,0
U0230,21.01,LOW,0,0.0,LOW,0,0
U0231,22.51,LOW,0,0.0,LOW,0,0
U0232,22.26,LOW,0,0.0,LOW,0,0
U0233,21.0,LOW,0,0.0,LOW,0,0
U0234,21.0,LOW,0,0.0,LOW,0,0
U0235,23.26,LOW,0,0.0,LOW,0,0
U0236,21.0,LOW,0,0.0,LOW,0,0
U0237,21.0,LOW,0,0.98,LOW,0,0
U0238,21.0,LOW,0,0.0,LOW,0,0
U0239,21.0,LOW,0,0.0,LOW,0,0
U0240,21.01,LOW,0,0.0,LOW,0,0
U0241,22.88,LOW,0,0.0,LOW,0,0
U0242,21.01,LOW,0,0.0,LOW,0,0
U0243,23.32,LOW,0,0.0,LOW,0,0
U0244,31.83,LOW,0,0.0,LOW,0,0
U0245,24.01,LOW,0,0.0,LOW,0,0
U0246,22.51,LOW,0,0.0,LOW,0,0
U0247,21.0,LOW,0,0.0,LOW,0,0
U0248,26.48,LOW,0,0.0,LOW,0,0
U0249,21.01,LOW,0,0.0,LOW,0,0
U0250,22.88,LOW,0,0.0,LOW,0,0
U0251,21.01,LOW,0,0.0,LOW,0,0
U0252,21.0,LOW,0,0.0,LOW,0,0
U0253,21.01,LOW,0,0.0,LOW,0,0
U0254,21.01,LOW,0,0.0,LOW,0,0
U0255,21.01,LOW,0,0.0,LOW,0,0
U0256,21.01,LOW,0,0.0,LOW,0,0
U0257,22.08,LOW,0,0.0,LOW,0,0
U0258,22.08,LOW,0,0.0,LOW,0,0
U0259,21.01,LOW,0,0.0,LOW,0,0
U0260,22.01,LOW,0,0.0,LOW,0,0
U0261,21.0,LOW,0,0.0,LOW,0,0
U0262,21.01,LOW,0,0.0,LOW,0,0
U0263,24.76,LOW,0,0.0,LOW,0,0
U0264,21.01,LOW,0,0.0,LOW,0,0
U0265,22.37,LOW,0,0.0,LOW,0,0
U0266,24.75,LOW,0,0.0,LOW,0,0
U0267,22.37,LOW,0,0.0,LOW,0,0
U0268,15.0,LOW,0,0.5,LOW,0,0
U0269,22.01,LOW,0,0.0,LOW,0,0
U0270,22.67,LOW,0,0.0,LOW,0,0
U0271,22.26,LOW,0,0.0,LOW,0,0
U0272,21.01,LOW,0,0.0,LOW,0,0
U0273,22.37,LOW,0,0.0,LOW,0,0
U0274,23.51,LOW,0,0.0,LOW,0,0
U0275,21.0,LOW,0,0.0,LOW,0,0
U0276,15.0,LOW,0,0.0,LOW,0,0
U0277,27.01,LOW,0,0.0,LOW,0,0
U0278,23.73,LOW,0,0.0,LOW,0,0
U0279,21.0,LOW,0,0.0,LOW,0,0
U0280,22.77,LOW,0,0.0,LOW,0,0
U0281,21.0,LOW,0,0.0,LOW,0,0
U0282,22.67,LOW,0,0.0,LOW,0,0
U0283,22.26,LOW,0,0.0,LOW,0,0
U0284,22.01,LOW,0,0.0,LOW,0,0
U0285,22.59,LOW,0,0.0,LOW,0,0
U0286,22.88,LOW,0,0.0,LOW,0,0
U0287,24.76,LOW,0,0.0,LOW,0,0
U0288,21.0,LOW,0,0.0,LOW,0,0
U0289,22.16,LOW,0,0.0,LOW,0,0
U0290,22.26,LOW,0,0.0,LOW,0,0
U0291,23.01,LOW,0,0.0,LOW,0,0
U0292,21.01,LOW,0,0.0,LOW,0,0
U0293,22.16,LOW,0,0.0,LOW,0,0
U0294,24.47,LOW,0,0.0,LOW,0,0
U0295,22.08,LOW,0,0.0,LOW,0,0
U0296,22.26,LOW,0,0.0,LOW,0,0
U0297,23.15,LOW,0,0.0,LOW,0,0
U0298,23.15,LOW,0,0.0,LOW,0,0
U0299,21.0,LOW,0,0.0,LOW,0,0
U0300,22.08,LOW,0,0.0,LOW,0,0
U0301,21.0,LOW,0,0.0,LOW,0,0
U0302,22.16,LOW,0,0.0,LOW,0,0
U0303,22.88,LOW,0,0.0,LOW,0,0
U0304,21.0,LOW,0,0.0,LOW,0,0
U0305,21.01,LOW,0,0.0,LOW,0,0
U0306,25.34,LOW,0,0.0,LOW,0,0
U0307,22.26,LOW,0,0.0,LOW,0,0
U0308,29.87,LOW,0,0.0,LOW,0,0
U0309,23.01,LOW,0,0.0,LOW,0,0
U0310,21.01,LOW,0,0.0,LOW,0,0
U0311,22.37,LOW,0,0.0,LOW,0,0
U0312,28.34,LOW,0,0.0,LOW,0,0
U0313,21.0,LOW,0,0.0,LOW,0,0
U0314,21.01,LOW,0,0.0,LOW,0,0
U0315,21.0,LOW,0,0.0,LOW,0,0
U0316,22.67,LOW,0,0.0,LOW,0,0
U0317,22.16,LOW,0,0.0,LOW,0,0
U0318,21.01,LOW,0,0.0,LOW,0,0
U0319,21.01,LOW,0,0.0,LOW,0,0
U0320,23.38,LOW,0,0.0,LOW,0,0
U0321,22.08,LOW,0,0.0,LOW,0,0
U0322,22.26,LOW,0,0.0,LOW,0,0
U0323,24.76,LOW,0,0.0,LOW,0,0
U0324,21.0,LOW,0,0.0,LOW,0,0
U0325,21.01,LOW,0,0.0,LOW,0,0
U0326,21.01,LOW,0,0.0,LOW,0,0
U0327,29.38,LOW,0,0.0,LOW,0,0
U0328,21.89,LOW,0,0.0,LOW,0,0
U0329,21.0,LOW,0,0.0,LOW,0,0
U0330,21.95,LOW,0,0.0,LOW,0,0
U0331,22.37,LOW,0,0.0,LOW,0,0
U0332,21.01,LOW,0,0.0,LOW,0,0
U0333,15.0,LOW,0,0.0,LOW,0,0
U0334,22.08,LOW,0,0.0,LOW,0,0
U0335,24.76,LOW,0,0.0,LOW,0,0
U0336,22.67,LOW,0,0.0,LOW,0,0
U0337,16.51,LOW,0,0.5,LOW,0,0
U0338,21.01,LOW,0,0.0,LOW,0,0
U0339,22.67,LOW,0,0.0,LOW,0,0
U0340,22.16,LOW,0,0.0,LOW,0,0
U0341,21.0,LOW,0,0.0,LOW,0,0
U0342,22.88,LOW,0,0.0,LOW,0,0
U0343,22.67,LOW,0,0.0,LOW,0,0
U0344,31.51,LOW,0,0.0,LOW,0,0
U0345,23.73,LOW,0,0.0,LOW,0,0
U0346,22.01,LOW,0,0.0,LOW,0,0
U0347,22.37,LOW,0,0.0,LOW,0,0
U0348,22.88,LOW,0,0.0,LOW,0,0
U0349,21.01,LOW,0,0.0,LOW,0,0
U0350,22.16,LOW,0,0.0,LOW,0,0
U0351,21.01,LOW,0,0.0,LOW,0,0
U0352,22.26,LOW,0,0.0,LOW,0,0
U0353,21.0,LOW,0,0.0,LOW,0,0
U0354,21.01,LOW,0,0.0,LOW,0,0
U0355,21.01,LOW,0,0.0,LOW,0,0
U0356,22.26,LOW,0,0.0,LOW,0,0
U0357,23.51,LOW,0,0.0,LOW,0,0
U0358,24.34,LOW,0,0.0,LOW,0,0
U0359,22.67,LOW,0,0.0,LOW,0,0
U0360,21.0,LOW,0,0.0,LOW,0,0
U0361,22.68,LOW,0,0.0,LOW,0,0
U0362,21.01,LOW,0,0.0,LOW,0,0
U0363,21.0,LOW,0,0.0,LOW,0,0
U0364,21.0,LOW,0,0.0,LOW,0,0
U0365,21.01,LOW,0,0.0,LOW,0,0
U0366,21.01,LOW,0,0.0,LOW,0,0
U0367,22.37,LOW,0,0.0,LOW,0,0
U0368,21.01,LOW,0,0.0,LOW,0,0
U0369,23.31,LOW,0,0.0,LOW,0,0
U0370,22.67,LOW,0,0.0,LOW,0,0
U0371,21.01,LOW,0,0.0,LOW,0,0
U0372,21.01,LOW,0,0.0,LOW,0,0
U0373,24.76,LOW,0,0.0,LOW,0,0
U0374,22.16,LOW,0,0.0,LOW,0,0
U0375,23.51,LOW,0,0.0,LOW,0,0
U0376,24.34,LOW,0,0.0,LOW,0,0
U0377,28.37,LOW,0,0.0,LOW,0,0
U0378,27.01,LOW,0,0.0,LOW,0,0
U0379,22.26,LOW,0,0.0,LOW,0,0
U0380,23.31,LOW,0,0.0,LOW,0,0
U0381,23.15,LOW,0,0.0,LOW,0,0
U0382,22.51,LOW,0,0.0,LOW,0,0
U0383,21.01,LOW,0,0.0,LOW,0,0
U0384,22.16,LOW,0,0.0,LOW,0,0
U0385,21.0,LOW,0,0.0,LOW,0,0
U0386,28.01,LOW,0,0.0,LOW,0,0
U0387,22.37,LOW,0,0.0,LOW,0,0
U0388,21.0,LOW,0,0.0,LOW,0,0
U0389,21.01,LOW,0,0.0,LOW,0,0
U0390,25.67,LOW,0,0.0,LOW,0,0
U0391,21.01,LOW,0,0.0,LOW,0,0
U0392,22.67,LOW,0,0.0,LOW,0,0
U0393,23.5,LOW,0,0.0,LOW,0,0
U0394,22.37,LOW,0,0.0,LOW,0,0
U0395,22.51,LOW,0,0.0,LOW,0,0
U0396,21.0,LOW,0,0.0,LOW,0,0
U0397,22.26,LOW,0,0.0,LOW,0,0
U0398,21.01,LOW,0,0.0,LOW,0,0
U0399,22.37,LOW,0,0.0,LOW,0,0
U0400,21.01,LOW,0,0.0,LOW,0,0
U0401,24.34,LOW,0,0.0,LOW,0,0
U0402,23.01,LOW,0,0.0,LOW,0,0
U0403,21.0,LOW,0,0.0,LOW,0,0
U0404,21.01,LOW,0,0.0,LOW,0,0
U0405,28.88,LOW,0,0.0,LOW,0,0
U0406,22.26,LOW,0,0.0,LOW,0,0
U0407,23.51,LOW,0,0.0,LOW,0,0
U0408,36.01,LOW,0,0.0,LOW,0,0
U0409,21.0,LOW,0,0.0,LOW,0,0
U0410,21.0,LOW,0,0.0,LOW,0,0
U0411,21.01,LOW,0,0.0,LOW,0,0
U0412,22.77,LOW,0,0.0,LOW,0,0
U0413,21.01,LOW,0,0.0,LOW,0,0
U0414,21.89,LOW,0,0.0,LOW,0,0
U0415,22.88,LOW,0,0.0,LOW,0,0
U0416,21.01,LOW,0,0.0,LOW,0,0
U0417,24.01,LOW,0,0.0,LOW,0,0
U0418,25.62,LOW,0,0.0,LOW,0,0
U0419,23.15,LOW,0,0.0,LOW,0,0
U0420,23.73,LOW,0,0.0,LOW,0,0
U0421,21.0,LOW,0,0.0,LOW,0,0
U0422,21.01,LOW,0,0.0,LOW,0,0
U0423,21.0,LOW,0,0.0,LOW,0,0
U0424,21.01,LOW,0,0.0,LOW,0,0
U0425,23.01,LOW,0,0.0,LOW,0,0
U0426,15.0,LOW,0,0.0,LOW,0,0
U0427,21.95,LOW,0,0.0,LOW,0,0
U0428,22.88,LOW,0,0.0,LOW,0,0
U0429,22.88,LOW,0,0.0,LOW,0,0
U0430,25.29,LOW,0,0.0,LOW,0,0
U0431,21.0,LOW,0,0.0,LOW,0,0
U0432,22.5,LOW,0,0.0,LOW,0,0
U0433,22.26,LOW,0,0.0,LOW,0,0
U0434,23.5,LOW,0,0.0,LOW,0,0
U0435,22.88,LOW,0,0.0,LOW,0,0
U0436,22.88,LOW,0,0.0,LOW,0,0
U0437,21.0,LOW,0,0.0,LOW,0,0
U0438,24.22,LOW,0,0.0,LOW,0,0
U0439,22.08,LOW,0,0.0,LOW,0,0
U0440,21.01,LOW,0,0.0,LOW,0,0
U0441,28.5,LOW,0,0.0,LOW,0,0
U0442,22.16,LOW,0,0.0,LOW,0,0
U0443,23.51,LOW,0,0.0,LOW,0,0
U0444,21.01,LOW,0,0.0,LOW,0,0
U0445,21.01,LOW,0,0.0,LOW,0,0
U0446,21.0,LOW,0,0.0,LOW,0,0
U0447,21.89,LOW,0,0.0,LOW,0,0
U0448,23.66,LOW,0,0.0,LOW,0,0
U0449,21.01,LOW,0,0.0,LOW,0,0
U0450,22.51,LOW,0,0.0,LOW,0,0
U0451,23.73,LOW,0,0.0,LOW,0,0
U0452,22.51,LOW,0,0.0,LOW,0,0
U0453,23.82,LOW,0,0.0,LOW,0,0
U0454,21.01,LOW,0,0.0,LOW,0,0
U0455,21.01,LOW,0,0.0,LOW,0,0
U0456,29.74,LOW,0,0.0,LOW,0,0
U0457,21.0,LOW,0,0.0,LOW,0,0
U0458,23.15,LOW,0,0.0,LOW,0,0
U0459,23.73,LOW,0,0.0,LOW,0,0
U0460,21.01,LOW,0,0.0,LOW,0,0
U0461,23.31,LOW,0,0.0,LOW,0,0
U0462,22.37,LOW,0,0.0,LOW,0,0
U0463,21.0,LOW,0,0.0,LOW,0,0
U0464,22.5,LOW,0,0.0,LOW,0,0
U0465,22.01,LOW,0,0.0,LOW,0,0
U0466,15.0,LOW,0,0.0,LOW,0,0
U0467,21.01,LOW,0,0.0,LOW,0,0
U0468,22.26,LOW,0,0.0,LOW,0,0
U0469,22.08,LOW,0,0.0,LOW,0,0
U0470,22.88,LOW,0,0.0,LOW,0,0
U0471,22.88,LOW,0,0.0,LOW,0,0
U0472,21.0,LOW,0,0.0,LOW,0,0
U0473,22.67,LOW,0,0.0,LOW,0,0
U0474,21.01,LOW,0,0.0,LOW,0,0
U0475,21.01,LOW,0,0.0,LOW,0,0
U0476,22.51,LOW,0,0.0,LOW,0,0
U0477,21.0,LOW,0,0.0,LOW,0,0
U0478,22.16,LOW,0,0.0,LOW,0,0
U0479,21.01,LOW,0,0.0,LOW,0,0
U0480,22.01,LOW,0,0.0,LOW,0,0
U0481,22.5,LOW,0,0.0,LOW,0,0
U0482,23.26,LOW,0,0.0,LOW,0,0
U0483,21.0,LOW,0,0.0,LOW,0,0
U0484,22.26,LOW,0,0.0,LOW,0,0
U0485,21.0,LOW,0,0.0,LOW,0,0
U0486,22.16,LOW,0,0.0,LOW,0,0
U0487,21.0,LOW,0,0.0,LOW,0,0
U0488,22.16,LOW,0,0.0,LOW,0,0
U0489,21.01,LOW,0,0.0,LOW,0,0
U0490,22.08,LOW,0,0.0,LOW,0,0
U0491,23.31,LOW,0,0.0,LOW,0,0
U0492,23.51,LOW,0,0.0,LOW,0,0
U0493,21.01,LOW,0,0.0,LOW,0,0
U0494,29.67,LOW,0,0.0,LOW,0,0
U0495,22.37,LOW,0,0.0,LOW,0,0
U0496,22.67,LOW,0,0.0,LOW,0,0
U0497,21.0,LOW,0,0.0,LOW,0,0
U0498,22.26,LOW,0,0.0,LOW,0,0
U0499,22.26,LOW,0,0.0,LOW,0,0
U0500,25.42,LOW,0,0.0,LOW,0,0
U0501,21.01,LOW,0,0.0,LOW,0,0
U0502,22.08,LOW,0,0.0,LOW,0,0
U0503,22.37,LOW,0,0.0,LOW,0,0
U0504,21.01,LOW,0,0.0,LOW,0,0
U0505,27.0,LOW,0,0.0,LOW,0,0
U0506,21.0,LOW,0,0.0,LOW,0,0
U0507,28.37,LOW,0,0.0,LOW,0,0
U0508,23.73,LOW,0,0.0,LOW,0,0
U0509,21.01,LOW,0,0.0,LOW,0,0
U0510,21.01,LOW,0,0.0,LOW,0,0
U0511,22.08,LOW,0,0.0,LOW,0,0
U0512,21.0,LOW,0,0.0,LOW,0,0
U0513,23.51,LOW,0,0.0,LOW,0,0
U0514,21.0,LOW,0,0.0,LOW,0,0
U0515,21.0,LOW,0,0.48,LOW,0,0
U0516,22.08,LOW,0,0.0,LOW,0,0
U0517,23.73,LOW,0,0.0,LOW,0,0
U0518,21.0,LOW,0,0.0,LOW,0,0
U0519,21.01,LOW,0,0.0,LOW,0,0
U0520,22.88,LOW,0,0.0,LOW,0,0
U0521,22.01,LOW,0,0.0,LOW,0,0
U0522,21.95,LOW,0,0.0,LOW,0,0
U0523,29.16,LOW,0,0.0,LOW,0,0
U0524,23.15,LOW,0,0.0,LOW,0,0
U0525,23.5,LOW,0,0.0,LOW,0,0
U0526,22.88,LOW,0,0.0,LOW,0,0
U0527,22.16,LOW,0,0.0,LOW,0,0
U0528,22.67,LOW,0,0.0,LOW,0,0
